Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
JACK HENRY ASSC,JKHY,6898.75,407427.34,0.65,27.01,0.9,27.13,3.27,91.69,-0.37
JINKOSOLAR HLDG,JKS,432.12,549822.88,2.33,1.95,0.96,33.72,7,4.88,-26.17
JONES LANG LASL,JLL,4577.31,556244.69,1.82,11.64,1.7,14.19,8.7,15.74,-14.67
JMP GROUP INC,JMP,129.9,46228.55,1.01,41.33,6.02,2.39,0.15,97.58,9.73
JOHNSON & JOHNS,JNJ,306005.47,7655785,0.75,17.2,2.73,25.3,6.54,56.42,-6.07
JUNIPER NETWRKS,JNPR,10185.05,4153338,1.24,16.43,2.27,13.47,1.63,60.28,14.25
JANUS CAP GRP,JNS,2472.61,1449577.38,1.73,15.21,3.09,9.65,0.89,47.37,-8.02
51JOBS INC-ADR,JOBS,2098.08,60158.9,1.58,23.82,2.44,12.95,1.47,93.98,4.79
JOHNSON OUTDOOR,JOUT,426.93,33175.9,0.88,25.34,2.72,8.26,1.68,96.87,20.56
JOY GLOBAL INC,JOY,2751.51,1026874.88,1.95,71.87,2.35,2.76,0.39,99.12,2.75
JUPAI HOLDINGS,JP,276.09,18379.9,0.5,10.23,3.52,15.15,0.92,71.02,18.96
JPMORGAN CHASE,JPM,282396.59,20883664,1.51,13.54,1.04,10.47,5.83,97.77,17.02
JAMES RIVER GRP,JRVR,1143.08,239156.41,0.56,17.75,0.19,9.22,2.21,79.84,5.6
WILEY (JOHN) A,JW.A,3195.84,121972.3,1.03,20.95,0.97,14.92,2.64,81.17,-5.18
NORDSTROM INC,JWN,9759.82,4109266.75,1.02,19.17,1.04,58.85,2.94,86.3,12.65
KELLOGG CO,K,25833.63,1538260.88,0.55,20.28,0.66,61.36,3.63,27.59,-10.83
KADANT INC,KAI,681.1,45048.45,1.25,18.52,2.25,13.36,3.37,100,13.95
KAISER ALUMINUM,KALU,1494.69,178255.05,0.56,20.11,4.13,9.46,4.15,51.68,-6.19
KAMAN CORP  A,KAMN,1326.39,177836.2,0.92,20.56,1.94,11.86,2.38,96.12,8.28
IKANG HEALTHCR,KANG,1010.72,302940.31,0.54,100.4,1.51,2.65,0.15,0.85,-18.15
KAR AUCTION SVC,KAR,5754.45,1401457.25,1.41,20.83,1.28,19.45,2,81.26,-2.25
KATE SPADE&CO,KATE,1966.81,3737728.75,1.67,25.16,2.78,27.34,0.61,5.93,-18.52
KB FINL GRP-ADR,KB,14980.96,121143.05,1.34,7.94,1.42,6.8,4.51,83.11,-0.56
KIMBALL INTL  B,KBAL,587.38,200228.45,1.49,20.19,1.53,19.74,0.78,94.39,22.85
KB HOME,KBH,1374.17,2203043.25,2.07,13.97,1.22,6.77,1.16,94.18,6.16
KBR INC,KBR,2351.17,1999538,1.46,12.88,1.15,16.67,1.28,59.67,12.34
KCAP FINL INC,KCAP,149.08,151110.09,1.86,7.57,1.25,9.57,0.53,62.74,-11.28
KCG HOLDINGS,KCG,1251.01,531715.06,1.61,27.4,1.01,3.26,0.53,79.93,0.41
KIMBALL ELECTRN,KE,486.45,146178.91,0.9,20.58,1.97,7.57,0.86,95.42,45.32
KELLY SVCS  A,KELYA,785.47,117794.7,1.27,11.22,1.55,7.59,1.83,94.43,6.59
KOREA ELEC PWR,KEP,25986.7,694294.81,0.59,5.09,0.72,8.68,3.98,6.38,-23.25
KIRBY CORP,KEX,3287.85,584882.56,1.03,20.63,1.82,6.85,2.96,56.72,11.51
KEYCORP NEW,KEY,18382.91,18509024,1,15.61,0.88,8.44,1.09,93.22,37.73
KEYSIGHT TECH,KEYS,6331.85,573183.38,1.06,16.71,2.88,25.75,2.23,94.14,22.57
KFORCE INC,KFRC,602.04,196414.16,1.38,14.6,2.49,31.27,1.52,57.7,14.97
KORN/FERRY INTL,KFY,1465.5,380369.16,1.28,11.88,1.89,11.83,2.13,33.28,6.3
KINROSS GOLD,KGC,4195.51,14840050,0.4,112.33,3.85,1.23,0.03,45.64,-26.42
KRAFT HEINZ CO,KHC,102250.68,3709743.5,0.48,27.72,0.95,6.4,3.03,71.26,-6.4
KIMCO REALTY CO,KIM,11067.68,4613464.5,0.86,17.36,0.1,12.62,1.5,14.51,-15.12
KINGSTONE COS,KINS,100.5,26077.5,-0.06,11.87,0.6,16.36,1.07,98.16,37.74
KIRKLANDS INC,KIRK,240.11,133058.16,1.66,19.88,1.79,10.96,0.76,60.78,18.23
KKR & CO LP,KKR,6859.84,3226403.5,1.64,41.24,1.12,2.27,0.37,69.18,2.83
KLA-TENCOR CORP,KLAC,12768.14,1692228.75,1.6,15.95,4.03,138.28,5.12,93.25,15.79
KULICKE & SOFFA,KLIC,1117.1,414118.5,1.23,23.52,6.59,6.04,0.67,100,27.61
KLX INC,KLXI,2037.41,386065.69,1.05,23.87,7.9,3.83,1.62,85.52,5.43
KIMBERLY CLARK,KMB,41725.06,1774369.25,0.61,19.42,0.92,648.51,6,16.74,-9.87
KMG CHEMICALS,KMG,391.59,30635.65,0.51,20.68,2.18,14.14,1.61,100,19.28
KINDER MORGAN,KMI,47772.59,12097626,0.68,30.57,0.56,4.69,0.7,79.17,-4.46
KENNAMETAL INC,KMT,2691.38,1238554.38,1.89,31.76,2.46,7.94,1.06,90.66,19.44
CARMAX GP (CC),KMX,10945.82,2296070,1.24,18.26,2.54,20.92,3.15,83.25,-3.38
KNOWLES CORP,KN,1417.84,674883.13,0.63,22.83,2.47,6.11,0.7,87.08,15.97
KINDRED HLTHCR,KND,600.38,2161011.75,1.22,6.98,1.61,5.78,1.01,10.29,-33.11
KANDI TECH CORP,KNDI,269.51,440525.25,2.51,29.74,1.38,4.38,0.19,26.03,-9.89
KNOLL INC,KNL,1320.93,286007.91,1.1,15.82,1.38,29.45,1.7,99.8,2.75
KNOT OFFSHOR LP,KNOP,595.55,73484.25,0.77,8.83,0.46,10.29,2.48,97.07,13.24
KNIGHT TRANSN,KNX,2741.2,1079552.25,0.73,27.62,2.44,13.37,1.24,93.64,21.24
COCA COLA CO,KO,177478.27,14096810,0.68,21.43,1.37,32.47,1.92,4.01,-6.03
COCA-COLA FEMSA,KOF,13088.29,134835.16,0.9,24.01,1.28,8.6,2.63,0.94,-18.18
KOPPERS HOLDNGS,KOP,800.69,156293.8,0.88,16.63,1.57,1225,2.33,93.33,18.25
MICHAEL KORS,KORS,5699.44,3483148.75,0.84,10.84,1.58,42.5,4.4,52.85,-2.11
KEPPEL LTD ADR,KPELY,6853.52,16879.9,1.33,8.98,1.75,8.69,0.84,31.85,-5.04
KROGER CO,KR,31252.13,8330176,0.74,15.25,0.68,32.52,2.17,30.87,1.32
KRATON CORP,KRA,915.42,304057.16,1.67,10.57,2.32,18.56,2.8,68.29,-18.81
KILROY REALTY,KRC,6795.83,782563.63,0.82,21.66,2.1,8.94,3.4,99.7,1.06
KITE REALTY GRP,KRG,2045.21,467141.25,0.75,11.88,0.85,0.56,2.06,9.6,-16.88
KORNIT DIGITAL,KRNT,342.97,65818.15,-0.23,70.31,3.31,5.14,0.16,77.56,6.33
KEARNY FINL CP,KRNY,1349.94,461534.44,0.57,80.26,1.06,1.52,0.19,98.72,9.87
KAPSTONE PAPER,KS,1992.45,1276400.13,2.79,20.83,2.18,11.3,0.99,73.65,10.86
KOHLS CORP,KSS,9723.17,4739967.5,1,13.85,1.6,13.59,3.91,92.82,25.38
KANSAS CITY SOU,KSU,9461.57,2427802.25,0.89,19.12,1.02,11.57,4.6,67.2,-7.97
KUBOTA CORP ADR,KUBTY,19108.21,15015.9,1.32,16.97,1.83,11.02,4.53,64.4,4.18
KVH INDUSTRIES,KVHI,172.18,57420.5,0.86,34.67,2.58,7.1,0.3,100,17.65
KENNEDY-WILSON,KW,2493.83,467953.59,1.45,32.84,2.53,3.65,0.67,58.95,-3.59
QUAKER CHEMICAL,KWR,1656.73,73576.05,1.06,27.77,3.16,15.02,4.5,97.86,24.78
KONGZHONG-ADR,KZ,302.87,122564.95,0.61,11.91,2.5,8.31,0.54,58.64,-1.83
LOEWS CORP,L,14967.72,1077806.5,0.7,19.06,0.34,3.42,2.33,96.78,6.91
MULTI-COLOR,LABL,1199.56,87535.65,0.92,21.34,2.06,16.38,3.32,87.23,3.82
LITHIA MOTORS,LAD,2469.76,315149.5,1.64,12.54,1.17,22.67,7.31,39.52,7.68
LAMAR ADVER CO,LAMR,6551.72,779601.31,1.45,13.57,1.37,28.5,4.96,90.57,7.63
LANCASTER COLON,LANC,3806.18,86420.45,0.82,29.85,3.34,25.14,4.65,96.13,1.1
GLADSTONE LAND,LAND,110.68,25139,0.95,21.27,1.08,0.92,0.52,82.56,-7.07
LAZARD LTD,LAZ,5027.13,1053017,1.92,13.45,2.04,30.04,2.88,57.52,5.47
LAKELAND BANCRP,LBAI,775.53,151503.8,0.79,17.45,1,9.3,1,95.03,28.88
LIBBEY INC,LBY,424.87,86867,0.9,17.68,2.23,15.89,1.1,42.33,11.78
LANNETT INC,LCI,851.05,1400204.75,2.33,7.19,2.07,21.98,3.2,22.07,-27.03
LCNB CP,LCNB,205.15,15590.25,0.22,17.56,0.71,8.14,1.17,79.58,16.83
LIFETIME BRANDS,LCUT,241,27282.05,0.93,16.21,2.85,7.67,1.03,83.44,24.72
LYDALL INC,LDL,1005.4,129523.15,1.31,22.89,3.15,16.73,2.56,95.31,21.2
LEIDOS HOLDINGS,LDOS,7707.66,1756874.63,1.55,14.94,1.29,18.93,3.43,62.09,23.37
LANDAUER INC,LDR,478.76,39391.75,1.21,28.32,1.56,102.93,1.76,88.72,5.88
LANDS END INC,LE,570.12,125977.05,0.08,22.25,2.45,6.51,0.8,28.05,1.54
LEAR CORPORATN,LEA,8990.58,750231.31,1.29,9.52,1.35,31.86,13.45,95.5,9.63
LINCOLN ELECTRC,LECO,5100.08,506593.16,0.81,23.91,1.54,26.69,3.23,97.44,20.84
LEE ENTRPRS,LEE,181.26,170361.5,2.7,8.33,0.78,-15.49,0.39,78.41,-5.25
LEGGETT & PLATT,LEG,6492.84,779985.38,0.94,18.68,2.06,33.52,2.6,64.4,-7.2
LENNAR CORP -A,LEN,10078,2223076.5,1.28,11.64,9.26,13.98,3.8,44.38,-5.13
LENNAR CORP -B,LEN.B,8014.11,15787.55,1.36,9.26,9.26,13.98,3.8,39.05,-5.25
LATAM AIRLINES,LFL,4686.26,459826.84,1.72,95.44,0.49,1.55,0.09,76.35,7.24
LITTELFUSE INC,LFUS,3350.06,344180.44,1.11,25.2,2.95,17.27,5.9,90.89,17.6
LIFEVANTAGE CP,LFVN,116.29,76888.75,1.51,21.82,1.41,95.11,0.38,19.67,-32.93
LIONS GATE ETMT,LGF,3459.13,3006356,1.19,97.17,1.64,4.59,0.24,28.65,14.2
LGI HOMES INC,LGIH,714.04,332182.25,0.16,10.69,9.22,23.66,3.14,70.41,-12.97
LIGAND PHARMA-B,LGND,2202.02,390351.5,1.43,70.71,0.62,9.98,1.49,37.11,-2.48
LABORATORY CP,LH,13155.16,728637.25,0.96,14.92,1.39,16.97,8.56,66.88,-7.7
LHC GROUP LLC,LHCG,778.34,173579.2,0.98,21.09,1.83,9.59,2.03,69.82,20.76
LASALLE HTL PRP,LHO,3104.24,1850549.75,1.14,9.31,1.02,10.61,2.95,85.98,4.14
LENNOX INTL INC,LII,6513.16,372445.75,1.12,23.03,0.98,1385.94,6.57,75.89,-6.74
FIDELITY SOUTHN,LION,589.17,363475.56,1.04,13.74,1,12.76,1.64,92.69,25.15
LIONBRIDGE TECH,LIOX,311.82,244296.75,1.43,12.37,1.88,26.91,0.41,70.81,3.47
LIGHTINTHEBOX-A,LITB,186.13,13593.05,1.38,20.77,2.44,13.8,0.13,34.09,-16.15
LUMENTUM HLDGS,LITE,2486.46,855435.5,0.63,34.75,2.99,15.22,1.19,87.74,14.07
LAKELAND FINL,LKFN,1069.2,82404.65,0.67,21.21,0.95,12.36,2.01,92.36,18.94
LKQ CORP,LKQ,10150.94,1561963.63,0.55,18.97,2.87,16.41,1.74,73.26,-8.41
L-3 COMM HLDGS,LLL,12263.53,639998,1.05,19.83,1.46,13.9,8,100,4.79
LINEAR TEC CORP,LLTC,15039.2,2285066.25,1.16,29.94,8.98,29.73,2.09,100,6.21
LILLY ELI & CO,LLY,74130.11,7425017.5,0.28,20.05,1.62,23.71,3.35,0,-14.47
LEGG MASON INC,LM,3157.48,1660018.25,1.91,13.95,2.44,6.43,2.24,30.79,-9.71
LEMAITRE VASCLR,LMAT,431.52,164885.2,0.58,42.22,5.66,12.83,0.55,88.08,11.64
LIBERTY MEDIA-A,LMCA,2646.75,397114.59,1.52,42.7,0.45,0.72,0.74,59.83,45.09
LIBERTY MEDIA-C,LMCK,1750.87,410621.31,1.54,42.47,0.39,0.72,0.74,63.19,45.11
LMI AEROSPACE,LMIA,122.15,28041.15,0.97,28,4.04,3.81,0.32,54.42,23.42
LIMONEIRA CO,LMNR,253.79,47198.9,1.01,66.3,0.69,3.96,0.27,77.58,6.61
LUMINEX CORP,LMNX,903.95,210339.75,0.57,19.38,5.22,11.95,1.07,54.56,-1.57
LANDMARK INFRAS,LMRK,294.7,54146.55,0.5,33.78,1.63,4.5,0.45,48.08,-16.94
LOCKHEED MARTIN,LMT,78101.81,1506731.25,0.65,21.29,1.19,131.23,12.52,98.92,9.7
LINCOLN NATL-IN,LNC,14472.42,2191631.5,1.99,10.25,0.14,9.89,6.18,97.51,34.72
SNYDERS-LANCE,LNCE,3674.31,597697.31,0.61,31.84,1.67,6.11,1.2,97.75,6.73
LANDEC CORP,LNDC,392.27,60583.65,1.25,38.92,1.64,4.74,0.37,97.94,11.28
LINDE AG ADR,LNEGY,31351.76,76817.75,1.05,22.81,0.84,8.27,0.74,80.81,-1.52
LINDSAY CORP,LNN,882.08,116581.35,0.79,31.08,3.32,11.25,2.67,96.98,16.63
ALLIANT ENGY CP,LNT,8474.38,1430774,0.39,21.17,0.7,10.84,1.76,68.73,-4.02
LANTHEUS HLDGS,LNTH,348.89,654041.13,0.48,14.18,2.82,-12.81,0.67,91.09,1.5
LENOVO GRP LTD,LNVGY,6890.15,28454.65,1.3,8,0.84,27.89,1.55,9.79,-11.77
LIVE OAK BNCSH,LOB,519.38,77602.1,-0.65,35.2,1.04,8.61,0.5,93.98,22.99
LIFELOCK INC,LOCK,2243.44,3986306.75,1.11,61.03,0.75,15.05,0.39,99.01,44.94
EL POLLO LOCO,LOCO,490.54,441828.66,0.2,18.48,0.8,10.63,0.69,48.37,-6.73
LOGITECH INTL,LOGI,3950.74,414421.69,0.47,25.95,1.72,20.98,0.94,92.93,13.6
LOGMEIN INC,LOGM,2654.47,294783.66,1.2,100.14,1.19,13.4,1.04,92.85,15.06
GRAND CANYON ED,LOPE,2694.2,575778.88,1.26,19.04,0.87,21.1,2.99,95.02,37.12
LORAL SPACE&COM,LORL,1229.59,62153.8,1.23,25.16,5.26,33.4,1.58,64.04,7.03
LOWES COS,LOW,61729.83,7209700,1.25,19.06,1.01,46.46,3.71,37.41,-6.97
DORIAN LPG LTD,LPG,382.5,188233.45,1.02,5.44,0.96,7.43,1.28,23.03,26.09
LAREDO PETROLM,LPI,3336.19,3448205.25,1.32,35.36,1.19,123.07,0.39,86.06,8.67
LG DISPLAY-ADR,LPL,8594.73,586446.63,0.84,18.48,1.27,0.69,0.65,59.83,-12.91
LPL FINL HLDGS,LPLA,3554.61,1158398.25,1.71,19.84,1.52,24.56,2.01,77.26,35.75
LIFEPOINT HOSP,LPNT,2224.64,670402.31,0.95,15.26,1.8,7.02,3.63,12.46,-4
LIBERTY PPTY TR,LPT,5840.07,945881.69,0.97,15.22,1.46,8.17,2.61,83.14,-5.07
LOUISIANA PAC,LPX,2794.72,1668059.25,1.1,28.9,2.21,9.09,0.68,87.22,-1.06
LA QUINTA HLDGS,LQ,1424.01,1549238.25,1.73,22.16,1.43,9.67,0.55,46.91,6.46
LAM RESEARCH,LRCX,17515.62,2011325.63,1.49,16.91,3.86,18.43,6.36,100,14.8
K12 INC,LRN,588.73,208551.34,0.12,43.88,3.2,2.28,0.33,96.89,13.66
LAKE SUNAPEE BG,LSBG,183.11,16481.25,0.18,19.67,1.08,6.6,1.11,99.53,20.14
LIFE STORAGE,LSI,3812.82,595831.56,0.62,15.93,0.37,5.62,5.16,7.81,-10.53
LANDSTAR SYSTEM,LSTR,3369.15,391255,0.69,25.28,1.91,27.78,3.19,94.6,16.08
LTC PROPERTIES,LTC,1819.51,253412.45,0.25,15.31,6.91,11.71,3.03,40.35,-13.08
LEGACY TX FINL,LTXB,1844.52,313281.91,1.06,20.76,1.18,10.37,1.86,95.15,25.56
LUKOIL PJSC,LUKOY,41103.46,87992.2,1.14,26.7,1.95,10.24,1.81,93.73,1.61
LULULEMON ATHLT,LULU,7992.58,1710378.63,0.46,31.02,4.88,23.73,1.88,36.81,-13.83
SOUTHWEST AIR,LUV,29080.85,6666715,0.86,12.11,0.62,32.51,3.9,84.25,27.85
LEVEL 3 COMM,LVLT,20217.04,3293407.25,1.6,31.73,1.63,6.18,1.77,93.01,11.98
LIBERTY VENTR-A,LVNTA,5351.6,1062058.75,1.06,8.11,1.12,10.04,4.88,53.91,-2.13
LAS VEGAS SANDS,LVS,49396.45,4098174.5,1.98,26.91,1.02,23.24,2.31,97.33,13.56
LIFEWAY FOODS,LWAY,195.47,38998.1,0.52,63.74,2.56,6.48,0.19,34,-4.72
LUXFER HOLDINGS,LXFR,285.84,69345.25,0.74,10.91,2.75,17.81,1,40.31,-5.21
LUXOFT HOLDING,LXFT,1141.67,307937.69,1.55,26.26,2.51,22.83,2.06,19.69,-0.75
LEXINGTON PPTY,LXP,2494.21,1127039.38,1.03,9.07,0.54,7.95,1.16,89.27,-3.13
LYONDELLBASEL-A,LYB,34117.91,2887128,1.13,8.87,2.22,64.02,9.44,48.14,5.35
LLOYDS BANK GRP,LYG,51549.66,5177716.5,1.33,20.64,1.41,6.11,0.14,16.83,-8.83
LSI INDUSTRIES,LYTS,241.13,72074.75,1.66,33.24,3.56,4.95,0.29,28.03,-5.3
LA-Z-BOY INC,LZB,1339.85,313334.44,0.87,16.62,3.1,15.01,1.64,65.07,1.08
MACYS INC,M,12989.19,6758622.5,0.77,13.28,1.22,24.83,3.2,83.69,17.54
MASTERCARD INC,MA,113123.73,3774723.5,1.22,28.14,1.65,69.11,3.69,87.86,5.09
MID-AMER APT CM,MAA,7086.6,687523.38,0.33,15.98,0.02,6.87,5.87,36.64,-2.26
MACERICH CO,MAC,9938.58,783771.13,0.84,16.99,0.79,18.73,4.07,9.09,-16.48
MAIN STREET CAP,MAIN,1917.25,341618.44,1.04,16.28,0.12,10.38,2.22,93.69,4.57
MANPOWER INC WI,MAN,5708.06,726841.88,1.6,13.93,1.39,17,6.11,78.71,18.98
MANHATTAN ASOC,MANH,3851.32,557395.88,1.16,32.4,1.86,66.06,1.67,26.59,-12.53
MANTECH INTL -A,MANT,1728.02,138785,1.39,30.09,2.2,4.7,1.49,99.08,9.34
MANCHESTER UTD,MANU,602.38,38884.1,0.49,44.26,0.64,8.34,0.34,31.05,-12.45
MARRIOTT INTL-A,MAR,30890.87,3396004,1.23,22.1,0.72,-76.1,3.58,100,12.87
MASCO,MAS,10574.77,3720203.5,1.59,21.76,2.07,620.95,1.48,65.25,-8.78
MASIMO CORP,MASI,3086.99,391629.5,0.98,37.89,2.25,29.42,1.64,98.33,4.37
MATTEL INC,MAT,10794.94,3400016,0.98,26.75,1.87,16.55,1.18,72.39,-4.07
MATTHEWS INTL-A,MATW,2333.51,141419.45,0.95,21.35,2.21,15.54,3.4,95.06,16.35
MATSON INC,MATX,1635.63,395890.34,1.18,18.36,1.07,20.49,2.08,32.95,-4.41
MB FINANCL INC,MBFI,3601.33,606801.38,1.07,18.65,0.85,8.51,2.31,92.75,11.31
MBIA INC,MBI,1396.79,1551516.5,2.08,30.26,1.8,1.26,0.34,100,30.75
MOBILEYE NV,MBLY,8229.82,2920251.75,0.96,96.26,7.52,16.36,0.39,51.75,-23.28
MIDDLEBURG FINL,MBRG,248.71,39199.55,0.53,31.66,0.81,6.13,1.09,94.99,21.05
MOBILE TELE-ADR,MBT,7372.62,2454457.5,1.07,10.74,0.63,28.63,0.69,52.64,-10.29
MBT FINL CORP,MBTF,221.69,58235.15,0.63,15,0.63,10.24,0.65,95.76,8.33
MALIBU BOATS-A,MBUU,323.96,121540.7,0.71,14.28,1.33,217.3,1.28,95.71,31.42
MERCHANTS BANCS,MBVT,339.82,44386.3,0.79,20.48,0.86,10.65,2.41,97.58,45.19
MERCANTILE BANK,MBWM,537.31,38600.1,0.88,17.72,1.02,8.87,1.86,87.26,22.67
MOELIS & CO,MC,587.79,128121.95,1.75,16.89,3.01,40.28,1.69,82.45,9.93
MACATAWA BANK,MCBC,324.96,68065.15,1.19,21.29,0.94,9.8,0.45,100,18.56
MEDLEY CAPITAL,MCC,428.79,358319.81,1.11,7.46,1.62,10.43,1.05,91.45,3.71
MCDONALDS CORP,MCD,100217.98,3973096.75,0.63,21.63,0.96,197.51,5.58,48.07,2.93
MCBC HOLDINGS,MCFT,242.58,132284.66,0.94,12.89,0.52,61,1.01,48.2,7.78
MICROCHIP TECH,MCHP,14263.54,2371998.5,1.04,23.33,2.58,27.29,2.83,99.7,6.04
MCKESSON CORP,MCK,31934.79,2735020.25,1.02,11.71,1.12,29.85,12.06,22.44,-23.52
MONARCH CASINO,MCRI,456.63,55298.1,0.98,19.92,1.06,10.88,1.32,100,9.04
MILACRON HLDGS,MCRN,1142.15,70097.35,0.61,11.04,2.73,-55.61,1.52,78.12,0.84
MARCUS CORP,MCS,849.68,90580.35,0.39,25,0.33,9.2,1.23,97.35,29.64
MERCURY GENL CP,MCY,3285.31,180653.8,0.41,35.59,0.4,5.07,1.67,98.68,8.29
MEDNAX INC,MD,6180.98,675220.13,0.62,16.75,1.39,14.47,3.94,35.39,-1.32
MDC HLDGS,MDC,1336.18,462438.94,1.38,15.57,9.69,6.72,1.75,99.23,4.61
MONDELEZ INTL,MDLZ,66193.5,9222136,1.11,22.56,0.63,10.88,1.9,66.8,-3.51
MTN PROV DMND,MDM,790.98,63270.45,0.86,99,2.16,2.78,0.05,84.01,-3.7
MEREDITH CORP,MDP,2473.86,324653.31,0.94,15.65,1.06,16.93,3.55,92.04,6.13
MCDERMOTT INTL,MDR,1549.4,2898277.25,1.35,17.83,2,6.41,0.36,98.1,21.13
ALLSCRIPTS HLTH,MDRX,2026.75,3080593.25,1.33,26.71,0.94,5.79,0.41,17.18,-14.98
MEDIDATA SOLUTN,MDSO,3156.56,566383.69,1.49,92.83,3.81,10.46,0.59,92.2,-1.46
MEDTRONIC,MDT,102312.6,7431285,1.01,16.39,2.35,12.36,4.48,4.91,-15.77
MDU RESOURCES,MDU,5575.93,1289108.5,0.81,25.72,1.54,9.16,1.11,99.21,18.86
MIMEDX GRP INC,MDXG,1067.77,871546.19,0.97,51.32,2.56,18.18,0.19,92.79,27.28
MEDIFAST INC,MED,474.27,103074.8,0.72,21.18,3.97,24.64,1.89,88.47,7.96
MEDIA GENERAL,MEG,2370.29,856120.63,1.57,24.12,2.51,6.92,0.76,94.6,1.5
METHODE ELECT-A,MEI,1378.35,211733.5,0.98,17.27,4.64,17.7,2.16,93.28,4.75
MERCADOLIBRE IN,MELI,7193.62,705721.88,2.14,51.07,1.53,38.86,3.19,73.12,-12.55
MENTOR GRAPHICS,MENT,4006.82,5118008,0.66,43.05,2.19,8.42,0.85,98.69,49.59
MERCER INTL SBI,MERC,617.83,108820.9,1.54,16.47,3.6,9.35,0.58,73.39,11.7
MESOBLAST LTD,MESO,353.41,15258.7,2.81,12.18,2.26,5.87,0.38,15.57,-9.57
METLIFE INC,MET,59562.13,7706918.5,1.66,11.65,0.16,6.99,4.65,93.78,25.73
MANULIFE FINL,MFC,33897.5,3075627.75,1.51,13.11,0.07,9.05,1.31,93.55,24.13
MIZUHO FINL-ADR,MFG,45402.3,437932.81,1.33,7.78,0.92,7.31,0.46,59.86,1.7
MISTRAS GROUP,MG,668.34,94530.85,1.03,24.62,2.19,10.22,0.93,59.1,-4.66
MAGNA INTL CL A,MGA,15633.91,1569988.75,1.64,7.96,1.18,20.72,5.11,63.87,-1.55
MGE ENERGY INC,MGEE,2119.95,118657,0.27,29.4,2.89,10.29,2.08,89.72,9.92
MONEYGRAM INTL,MGI,574.79,251200.3,1.77,15.7,0.05,-11.22,0.69,99.18,55.6
MAGIC SOFTWARE,MGIC,323.7,27274.9,0.77,15.53,3.25,10.41,0.47,77.57,-5.07
MAGELLAN HLTH,MGLN,1689.62,280596.19,0.48,20.77,1.51,7.96,3.5,100,32.96
MGM RESORTS INT,MGM,16553.11,8178713.5,1.79,29.16,1.04,6.45,0.99,99.19,16.79
MGP INGREDIENTS,MGPI,786.64,199353.91,1.33,27.61,3.48,22.96,1.71,94.33,16.45
MCGRATH RENTCOR,MGRC,882.19,121679.35,1.02,22.09,0.29,10.44,1.67,99.25,13.09
MARINE HARV-ADR,MHG,4071.03,51232.45,0.4,19.25,3.16,19.68,0.94,93.04,14.35
MOHAWK INDS INC,MHK,14840.42,849071.19,1.14,16.44,1.2,17.22,12.17,74.98,-6.91
MAIDEN HOLDINGS,MHLD,1343.66,605819.63,1.1,10.61,0.24,13.56,1.47,74.29,13.29
M/I HOMES INC,MHO,579.72,202230.59,0.95,11.09,5.85,11.49,2.12,95.82,1.25
MACQUARIE INFRA,MIC,6695.66,668536,0.94,55.66,0.91,3.71,1.47,92.61,-0.51
MIDDLEBY CORP,MIDD,7834.07,547978.69,1.44,28.31,1.71,21.83,4.81,94.78,7.15
MICHAELS COS,MIK,5027.96,1182951.88,1.12,13.8,1.61,-21.18,1.77,39.35,-2.86
MOBILE MINI INC,MINI,1367.21,180818.16,2.4,24.6,0.16,7.41,1.25,48.95,1.49
MITSUBISHI ESTA,MITEY,28022.32,59286.5,0.68,35.98,2.01,5.39,0.56,66.75,6.59
MITEK SYSTEMS,MITK,185.22,509278.19,2.58,40.36,3.87,13.41,0.14,31.64,-33.14
MITEL NETWORKS,MITL,883.78,276092.84,2.67,10.98,1.46,14.48,0.66,46.27,-3.46
AG MORTGAGE INV,MITT,504.69,236870.91,0.78,9.69,1.24,12.65,1.88,100,12.89
MIX TELEMATICS,MIXT,141.68,27922.75,0.84,29.35,2.14,4.74,0.2,73.95,9.82
MCCORMICK & CO,MKC,11741.18,580524.69,0.5,25.17,1.09,27.26,3.7,48.92,-8.68
MARKEL CORP,MKL,12677.31,91570.4,0.87,25.13,0.56,6.26,36.05,55.5,-5.09
MKS INSTRUMENTS,MKSI,3121.79,384276.34,0.98,25.11,4.35,10.58,2.32,100,19.12
MARKETAXESS HLD,MKTX,6349.52,222366.41,0.66,54.15,7.94,27.83,3.12,93.88,0.05
MESA LABS INC,MLAB,471.17,14611.15,0.65,31.54,1.58,17.87,4.06,86.93,11.91
HERMAN MILLER,MLHR,2022.07,350016.66,1.44,15.39,1.27,26.03,2.19,81.54,-5.81
MUELLER INDS,MLI,2165.48,190915.3,1.27,24.67,4.32,10.81,1.53,94.63,8.73
MARTIN MRT-MATL,MLM,13867.32,1154404.25,1.35,35.07,1.97,9.95,6.23,87.11,20.75
MELLANOX TECH,MLNX,1998.38,565065.75,0.62,20.6,2.75,10.89,1.99,14.97,-6.99
MILLER INDS INC,MLR,287.62,36856.85,0.77,14.82,2.52,10.84,1.71,88.65,15.02
MALVERN BANCORP,MLVF,131.53,23181.05,0.25,21.33,1.11,7.06,0.94,92.52,18.01
MARSH &MCLENNAN,MMC,35565.68,2151653.75,0.85,21.36,1.36,25.27,3.23,95.72,1.17
