Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
A-MARK PRECIOUS,AMRK,116.71,34519.35,0.07,21.28,1.13,8.63,0.78,31.34,-5.52
AMERISAFE INC,AMSF,1257.64,102625.35,0.6,15.43,0.42,16.76,4.24,100,7.34
AMSURG CORP,AMSG,3692.69,1499730.75,0.67,17.59,1.65,8.05,3.83,34.22,1.61
AMER SOFTWARE A,AMSWA,329.17,55082.45,0.65,39,2.58,8.9,0.29,90.41,5.6
AMER TOWER CORP,AMT,45144.21,3204942.25,0.69,19.11,1.72,14.05,5.55,65.51,-9.48
TD AMERITRADE,AMTD,21373.25,2822807.5,1.54,26.91,1.11,16.31,1.51,97.33,26.57
AMER WOODMARK,AMWD,1292.25,161831.41,1.42,20.06,3.46,22.12,3.95,69.29,-9.43
AMER MOVIL-ADR,AMX,39045.97,5988404.5,0.76,22.94,0.81,16.65,0.52,14.71,0
AUTONATION INC,AN,4469.18,1031085.69,1.01,10.76,0.82,19.77,4.11,16.39,-7.95
AMER NAT INSUR,ANAT,3310.01,20587.5,1.17,26.33,0.28,2.76,4.67,98.12,6.17
ACCESS NATL CP,ANCX,287.85,78608.35,0.87,16.64,0.96,14.96,1.63,92.58,20.63
ARISTA NETWORKS,ANET,6707.06,850536.19,1.12,37.91,3.73,20.69,2.52,98.98,17.66
ABERCROMBIE,ANF,1021.01,3981996.5,1.31,58.04,2.19,1.5,0.26,3.39,-10.92
ANGIODYNAMICS,ANGO,624.76,379055.16,0.93,25.88,2.33,4.46,0.65,90.43,-0.41
ANSYS INC,ANSS,8179.4,567407.44,0.99,28.47,2.42,13.39,3.32,76.01,-0.81
ANTHEM INC,ANTM,38271.84,2091968.63,0.57,14,1.57,11.64,10.38,92.61,16.89
AEGEAN MARINE,ANW,423.59,344301.59,2.88,9.19,1.65,9.48,1.17,96.52,4.27
ALLIANCE ONE,AOI,133.24,36527.25,1.71,0.79,2,73.45,18.92,35.15,-31.93
AON PLC,AON,29900.64,1113590.75,1.02,18.04,1.93,30.61,6.3,99.45,1.28
SMITH (AO) CORP,AOS,8507.87,1119927.75,1.4,26.81,2.21,21.84,1.83,87.78,2.15
ARTISAN PTNR AM,APAM,2157.69,519866.09,1.7,13.36,0.43,136.53,2.17,32.16,9.56
AIR PRODS & CHE,APD,31186.79,1369152.5,1.24,19.05,1.31,22.74,7.53,66.1,-8.85
AMER PUB EDUCAT,APEI,379.87,120281.15,1.19,10.98,3.53,13.96,2.15,57.26,13.63
AMPHENOL CORP-A,APH,21109.15,1153761.75,0.98,26.32,2.25,23.48,2.6,98.97,9.21
APPLE HOSP REIT,APLE,4196.99,1128245.75,0.63,10.68,0.05,2.98,1.76,44.74,0.43
ARCHROCK PTNRS,APLP,935.96,81667.1,2.03,21.36,1.97,9.8,0.73,87.4,4.42
APOLLO GLOBAL-A,APO,3577.91,742825.06,1.27,13.21,1.42,44.96,1.46,90.4,4.21
